capability_id,native_research_line,original_problem,distinguishing_case,critical_design_decision,source_ids,original_evidence,later_representation,preservation_status,loss_mechanism,current_owner,required_recovery,confidence,review_notes
CAP-REL-004,RELATION_CONSTITUTION,中心不能枚举私有行动集,完整集合披露与局部 column,候选在本地生成且只提交改善当前解的列,SRC-ROUND2-PAPER-I|SRC-ROUND2-PAPER-II,"positive:只提交满足缺口的资源组合; removal_failure:中心复制私有全集或错误宣称无解","v0.4 method/provider; v0.7/v1.1 未见等价运行协议",LOST,统一 RelationVersion 保存结果但未保留 column-generation 协议与隐私边界,无当前明确 owner,恢复本地候选生成接口与最小贡献证明,MEDIUM,manual_reconstruction=NOT_REQUIRED
CAP-REL-005,RELATION_CONSTITUTION,模型候选会被误当现实义务,候选与承诺,proposal 到 commitment 必须经过 Authority Gate,SRC-TYPED-LEDGER|SRC-R52-PATCH,"positive:预算未预留时保持候选; removal_failure:高置信提案直接执行","v0.4/v0.7/v1.1 Assertion/Commitment/Operation separation",PRESERVED,无,Assertion + Commitment + Mandate Gate,维持候选不可执行不变量,HIGH,manual_reconstruction=PASS
CAP-FORM-001,POSSIBILITY_FORMATION,Unknown 被当成单一终态,缺信息缺能力缺权限拒绝不可能,Unknown 类型路由到不同形成动作,SRC-ROUND2-PAPER-II|SRC-R52-CAPABILITY,"positive:能力未知触发 probe; removal_failure:无限追问或错误拒绝","v0.4 evidence/unknown field; v0.7 formation stage; v1.1 planner",PARTIAL,Unknown 可记录但类型到 action 的可执行映射不完整,Formation Planner,恢复 typed unknown taxonomy 与动作选择回放,HIGH,manual_reconstruction=NOT_REQUIRED
CAP-FORM-002,POSSIBILITY_FORMATION,发现路径与创造路径被混淆,原有路径与 operator 后新路径,保存冻结前态 operator 后态并要求消融,SRC-R5C-FORMATION|SRC-R5C-ABLATION,"positive:R5C 关键条件后路径可运行; removal_failure:移除 operator 后路径失败","v0.4 PFE policy; v0.7/v1.1 formation operator",PARTIAL,技术域证据支持但无人类 Principal 和匹配中心基线,Formation Planner + Evidence Ledger,完成单案 Q4 causal formation 或降级,HIGH,manual_reconstruction=NOT_REQUIRED
CAP-FORM-003,POSSIBILITY_FORMATION,二元拒绝会终止可构造关系,拒绝与最小反条件,countercondition 保留拒绝权并暴露可满足缺口,SRC-ROUND2-PAPER-II|SRC-R54-CAUSALITY,"positive:拒绝导出但允许域内执行; removal_failure:接受拒绝二元流程终止","v0.4 stance/policy; v0.7/v1.1 reject/countercondition events",PARTIAL,机制有表示但真实频率与策略操纵未检验,Boundary Oracle + Formation Planner,补低对抗范围和真实案例消融,MEDIUM,manual_reconstruction=NOT_REQUIRED
CAP-FORM-004,POSSIBILITY_FORMATION,语言自报不能建立现实能力,自报与现实 probe,低风险 probe 绑定环境权限版本 witness,SRC-R52-CAPABILITY|SRC-R5C-HOLDOUT,"positive:冻结 held-out 在目标域 readback; removal_failure:静态安装状态产生假能力","v0.4 Operation/Effect evidence; v0.7/v1.1 probe/capability agent",TRANSFORMED,从 PFE 方法变为 Operation+Effect 组合但本地 holdout 范围有限,Capability & Probe runtime,扩展到跨责任根且保留消融,HIGH,manual_reconstruction=PASS
CAP-FORM-005,POSSIBILITY_FORMATION,形成机制会被无限使用,开放形成与稳定运行,定义开启停止中心化与编译条件,SRC-R5C-METHOD|SRC-R54-NET,"positive:稳定局部进入确定性运行; removal_failure:永久协商或过早冻结","v0.4 compile candidate; v0.7 router; v1.1 formation/compiled regimes",PRESERVED,现实净值仍未证明但决策规则完整,Coordination Router + Formation Compiler,待第一次真实形成后测复用净值,HIGH,manual_reconstruction=PASS
CAP-CAP-001,CAPABILITY_REALIZATION,静态技能标签忽略环境,技能名与环境索引能力,claim 绑定执行器环境权限资源恢复版本时间,SRC-R52-PATCH|SRC-R52-CAPABILITY,"positive:revoked/offline/restored 条件结论不同; removal_failure:已安装即被承诺","v0.4 derived CapabilityEnvelope; v0.7/v1.1 capability graph",PRESERVED,无,Capability Claim derived view + Mandate/Effect,维持环境与版本绑定,HIGH,manual_reconstruction=PASS
CAP-CAP-002,CAPABILITY_REALIZATION,解释已知案例不等于预测新任务,训练内与冻结 holdout,干预前冻结 claim 并在 held-out readback,SRC-R52-CAPABILITY,"positive:六轴 4/6 对静态 3/6; removal_failure:修复后结果回填原有能力","v0.4 assurance method; v0.7/v1.1 qualification but no general holdout",PARTIAL,原则保留但当前系统未强制 prospective holdout,Capability Assurance,把 holdout 变成高风险 claim 的 Gate,MEDIUM,manual_reconstruction=NOT_REQUIRED
CAP-CAP-003,CAPABILITY_REALIZATION,执行者自报会形成循环证明,producer log 与目标证据,Assurance Case 绑定独立 readback 与 provenance,SRC-R5C-SUMMARY|SRC-R5C-ABLATION,"positive:目标域 adoption 证据; removal_failure:producer-only 消融失败","v0.4 Assertion/Operation evidence; v0.7/v1.1 assurance/effect gateway",PRESERVED,无,Assurance Case derived view + Effect Gateway,维持目标域来源优先级,HIGH,manual_reconstruction=PASS
CAP-CAP-004,CAPABILITY_REALIZATION,一次成功不能说明可恢复能力,首次成功与带恢复有效期能力,claim 包含 recovery expiry Defeater,SRC-R5C-SUMMARY|SRC-R5C-PATCH,"positive:revoked/offline/recovered 同一 identity; removal_failure:环境漂移后旧 claim 继续承诺","v0.4 derived envelope; v0.7/v1.1 defeater/reopen",TRANSFORMED,能力对象被派生化但可由依赖事件重建,Capability view + Defeater Engine,补跨关系 expiry 与恢复 readback,HIGH,manual_reconstruction=PASS
CAP-CAP-005,CAPABILITY_REALIZATION,单点能力不能推出组合交付,单组件与组合容量,CRA 检查依赖容量资源和漂移,SRC-R52-PATCH|SRC-R5C-METHOD,"positive:工具伙伴预算齐备后才可承诺; removal_failure:共享资源形成空头组合","v0.4 CRA policy; v0.7 capability graph; v1.1 reservation/assurance",PARTIAL,资源预留保留但跨伙伴组合资格化与漂移未完整实现,Capability Graph + Reservation Ledger,恢复组合依赖图和 capacity Gate,MEDIUM,manual_reconstruction=NOT_REQUIRED
CAP-AUTH-001,AUTHORITY_NORMS,认证执行体被误当责任主体,Principal 与 Agent Entity,责任根与运行实体分离,SRC-V07-OPC|SRC-V11-MONOGRAPH,"positive:日程 Agent 不能签品牌合作; removal_failure:登录身份扩张为全面代表权","v0.4 Entity; v0.7 responsibility root; v1.1 entity continuity",PRESERVED,无,Entity + Responsibility Root View,维持角色串联攻击测试,HIGH,manual_reconstruction=PASS
CAP-AUTH-002,AUTHORITY_NORMS,技术访问权被误当代理权,token 与 Mandate,Mandate 绑定目标范围期限数据预算撤销,SRC-V07-OPC|SRC-V11-MONOGRAPH,"positive:只读 probe 禁训练签约; removal_failure:token 被当无限授权或撤销后执行","v0.4/v0.7/v1.1 Mandate root",PRESERVED,无,Mandate + Authority Gate,维持撤销与目的限制回归,HIGH,manual_reconstruction=PASS
CAP-AUTH-003,AUTHORITY_NORMS,旧同意会污染新版本,一般同意与精确版本 Stance,Stance 引用版本范围且 material change 不继承,SRC-TYPED-LEDGER|SRC-R52-PATCH,"positive:只接受 v2; removal_failure:同意套到 v3","v0.4/v0.7/v1.1 exact-version Stance",PRESERVED,无,RelationVersion + Stance,维持 stale stance 阻断,HIGH,manual_reconstruction=PASS
CAP-AUTH-004,AUTHORITY_NORMS,愿意参与不等于资源已保留,承诺与预留,Commitment 绑定真实 Reservation,SRC-TYPED-LEDGER|SRC-R5-DECISION,"positive:无档期保持 conditional; removal_failure:同一资源被多重承诺","v0.4 Commitment; v0.7/v1.1 reservation ledger",PRESERVED,无,Commitment + Reservation Ledger,维持原子预留作为实现保障,HIGH,manual_reconstruction=PASS
CAP-AUTH-005,AUTHORITY_NORMS,无签字权的受影响方会被忽略,签字权与 challenge standing,Standing 记录 representation recourse 与效力范围,SRC-V07-OPC|SRC-V11-MONOGRAPH,"positive:受影响方触发用途重审; removal_failure:双边签署遮蔽外部性","v0.7/v1.1 relation attribute and gate",PARTIAL,公开制度材料支持表示但 OPC 运行时与第三方发现不足,Standing Gate,恢复受影响方发现与补救接口,MEDIUM,manual_reconstruction=NOT_REQUIRED
CAP-EFF-001,REALITY_EFFECT,执行成功标签不能证明世界改变,Attempt 与 Effect,Effect 必须由目标世界 witness 建立,SRC-R52-EFFECT|SRC-R52-PATCH,"positive:naive 17 场景错 10 次且 readback 17/17; removal_failure:exit 0 被当现实完成","v0.4 Operation/event; v0.7/v1.1 Effect Gateway",PRESERVED,无,Operation + Effect Gateway,维持目标域 readback 强制,HIGH,manual_reconstruction=PASS
CAP-EFF-002,REALITY_EFFECT,调用方会选择方便但非权威日志,producer 输出与目标域 readback,目标域 authoritative source 顺序与 provenance,SRC-R52-EFFECT,"positive:修复 writer 后才有可消费事件; removal_failure:raw bytes/producer JSON 被当目标事实","v0.4 evidence source; v0.7/v1.1 effect connector",PRESERVED,无,Effect Gateway + Event Ledger,维持来源优先级和格式失败反例,HIGH,manual_reconstruction=PASS
CAP-EFF-003,REALITY_EFFECT,现实变化采用接受被压成 done,Effect Adoption Acceptance,三层分别引用来源版本和权威,SRC-R52-EFFECT|SRC-R5C-HUMAN,"positive:applied 可早于 consumption 且技术采用非人类接受; removal_failure:写入后自动结算","v0.4 Stance/derived status; v0.7/v1.1 effect/adoption/acceptance chain",PRESERVED,无,Effect Gateway + Adoption View + Acceptance Stance,补真人 Acceptance 但保持语义链,HIGH,manual_reconstruction=PASS
CAP-EFF-004,REALITY_EFFECT,删除正状态不能表达撤销未知争议,未成功与明确负状态,负状态保留来源版本时间,SRC-R5C-SUMMARY|SRC-R5C-PATCH,"positive:adopted-revoked-offline-adopted; removal_failure:旧正状态继续驱动或恢复成新身份","v0.4 event state; v0.7/v1.1 defeater/reopen",PRESERVED,无,Event Ledger + Defeater Engine,维持负状态与 Unknown 分离,HIGH,manual_reconstruction=PASS
CAP-EFF-005,REALITY_EFFECT,恢复重试会重复副作用,新动作与同一 identity 恢复,幂等 identity 关联原尝试责任链,SRC-R5C-SUMMARY|SRC-R5C-METHOD,"positive:恢复同一 projection; removal_failure:重复采用结算或不可追责结果","v0.4 Operation identity; v0.7/v1.1 recovery flow",PRESERVED,无,Operation + Effect Gateway,维持幂等和重复 readback 测试,HIGH,manual_reconstruction=PASS
CAP-RUN-001,RUNTIME_EVOLUTION,实现目标会吞掉原始需求,Problem Design Engineering IR,Harness 分层保存来源假设验收,SRC-HARNESS,"positive:工程通过但原问题仍可拒绝; removal_failure:局部绿灯冒充需求闭环","v0.4 六 roots 不覆盖; v0.7/v1.1 主要写入流程章节",PARTIAL,统一关系本体没有完整承担研究和工程谱系,Harness research runtime,恢复三类 IR 的当前入口与 Acceptance 链,HIGH,manual_reconstruction=NOT_REQUIRED
CAP-RUN-002,RUNTIME_EVOLUTION,全历史与压缩摘要都损害执行,全量上下文与最小充分上下文,Context Compiler 生成任务视图并保留回源,SRC-HARNESS,"positive:执行者获得当前约束和证据入口; removal_failure:历史噪声或摘要遗漏","v0.4 provider/compiled view; v0.7/v1.1 context/local world",PARTIAL,原则保留但当前包中没有统一承担者与保真检查,Context Compiler,恢复可逆上下文编译和 source coverage 测试,HIGH,manual_reconstruction=NOT_REQUIRED
CAP-RUN-003,RUNTIME_EVOLUTION,开放形成不能永久承担重复运行,形成期与运行期,稳定子图满足 Gate 后最小权限编译,SRC-R5C-METHOD|SRC-R5C-SUMMARY,"positive:稳定 adapter 路径确定性运行; removal_failure:永久协商或全局冻结","v0.4 Compiled World view; v0.7/v1.1 Formation Compiler",PARTIAL,技术局部支持但现实重复净值未测,Formation Compiler,第一次真实形成后再测 Q5 复用,HIGH,manual_reconstruction=NOT_REQUIRED
CAP-RUN-004,RUNTIME_EVOLUTION,变化后永不重开或全局重开都错,局部失效与整体失效,Defeater 沿依赖闭包 scoped reopen,SRC-R5C-PATCH|SRC-V11-MONOGRAPH,"positive:数据变化只重开相关授权操作接受; removal_failure:陈旧执行或全局停摆","v0.4 dependency/event view; v0.7/v1.1 reopen engine",TRANSFORMED,实现存在但现实精度与漏开率未验证,Defeater & Reopen Engine,用真实漂移事件验证依赖闭包,HIGH,manual_reconstruction=PASS
CAP-RUN-005,RUNTIME_EVOLUTION,产物存在被误当主张闭合,产物闭合与证据闭合,Evidence Closure 连接主张验证器 readback 失败接受,SRC-HARNESS,"positive:权威结果与验收链一致才关闭; removal_failure:checksum或测试绿灯冒充现实成功","v0.4 evidence links; v0.7/v1.1 evidence ledger but Harness semantics not fully mapped",PARTIAL,关系运行时保留 evidence 但研究级闭合流程未成为当前 owner,Evidence Closure runtime,恢复 claim-verifier-acceptance 可查询链,HIGH,manual_reconstruction=NOT_REQUIRED
CAP-RUN-006,RUNTIME_EVOLUTION,单一机制不能覆盖全部任务,固定机制与按问题组合,Router 按制度信息权威不可逆 witness 漂移选择,SRC-V07-OPC|SRC-V11-MONOGRAPH,"positive:标准支付平台且数据关系本地权威; removal_failure:全联邦高成本或全中心吞主权","v0.7/v1.1 Coordination Router",PARTIAL,fixture 输入预先给定关键字段且真实冷启动未验证,Coordination Router,执行 Q4 原始材料盲推并决定自动器或 checklist,MEDIUM,manual_reconstruction=NOT_REQUIRED
CAP-RUN-007,RUNTIME_EVOLUTION,部署拓扑被误当权威拓扑,分布式进程与不可折叠权威,中心计算可用但最终 Stance 留在责任根,SRC-R54-NET|SRC-R5C-ABLATION,"positive:authority-aware hub 可完成可折叠任务; removal_failure:多进程被误当必要或中心获得全面代理","v0.7/v1.1 conditional architecture; v1.2 Q1",PRESERVED,匹配强中心基线仍缺失但条件规则清楚,Coordination Router + Authority Gate,执行 Q1 判别语义与拓扑价值,HIGH,manual_reconstruction=PASS
