record_id,container_path,member_path,nested_depth,size_bytes,compressed_bytes,crc32,sha256,extension,phase,artifact_type,evidence_role,status,duplicate_group
Z000016,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/experiments/schema_change_classifier/REPORT.md,0,4004,2152,106b8a78,1e8b63c049353fd0c6c8328130033595c54369757b101c47c92540180d104e75,md,v0.4-operationalization,experiment-or-result,mechanism-test-or-result,zip-member,D0106
Z000017,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/experiments/schema_change_classifier/results.json,0,4622,933,67f21ca4,e262f2f031c97c4767e84b8609791936b9d77a39eaed3ee7b4577f5336e0c2e9,json,v0.4-operationalization,experiment-or-result,mechanism-test-or-result,zip-member,D0771
Z000018,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/experiments/schema_change_classifier/run.log,0,1959,751,965919bf,4f8a1f9c9918fcc5ab6f0530ea5460484b187a23b428c5275141f28bf4d319de,log,v0.4-operationalization,experiment-or-result,mechanism-test-or-result,zip-member,D0247
Z000019,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/experiments/schema_change_classifier/run.py,0,10367,3335,2d23bf09,83e572ab086c2103a5dee7dbd0a4645ab1dccdf7ac70bed21f60ff84d51a01f9,py,v0.4-operationalization,experiment-or-result,mechanism-test-or-result,zip-member,D0430
Z000020,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/README.md,0,2197,1404,dc16c2bd,f52777b349847a30a86e92c45a1d56a7350f6083efcba3978ae3e81608874a7b,md,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0832
Z000021,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/build_sample.log,0,1493,704,e54317f7,137300b07b7808b0dab2ab0abc9ec5dfcc9c96eb6f7f89ac99b9eb0685016743,log,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0063
Z000022,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/build_sample.py,0,24676,5915,e524424f,e3e8f93d763267849a72b4b098e8f43015dd3810cbe03029c8cbd66b2b1ada52,py,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0780
Z000023,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/case.json,0,1182,487,1c65f358,e52d36bd39a663da1553ebe6a84ed08d483a00901d99c15f8bed393ac2ee0419,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0782
Z000024,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/outputs/adj-828b3c4d381d.json,0,1137,629,6f563f55,247e24361aee514bab0e07caa171c803262194e108299bca80e7ce80f78c313b,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0121
Z000025,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/private/buyer_business/intake.json,0,732,384,42d8e4c2,fb3102da72365ba9bfb6382de266fa7c38b88f61d6f589544a961c8eb88f93c1,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0850
Z000026,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/private/buyer_business/mandate-buyer_business-v1.json,0,1063,507,69b9d46a,b2ca385c6cb3678773ffa627f0490131c5b678daaee03f6bb97c1fef1db66df4,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0585
Z000027,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/private/buyer_data/intake.json,0,764,383,d005a908,ec3f8223b58780a2e127991017ba2d7a6635a51ec4ada6c8226e5b495fde1818,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0800
Z000028,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/private/buyer_data/mandate-buyer_data-v1.json,0,1394,615,55c3fe34,9a21020a28e0227e37c494df519a667625b7496671cd20c3336134e51c272a60,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0517
Z000029,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/private/provider_business/intake.json,0,730,384,961a6c87,ac91b93f7f8dcbb2f39a8e31e9809c94512eeee6377dc986448f9016e525449c,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0568
Z000030,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/private/provider_business/mandate-provider_business-v1.json,0,1006,490,054f3c70,ccbe21492848f72361c4dc6f9fba94e79e4012478c2d21f3aa800623ea5765b1,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0688
Z000031,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/private/provider_tech/intake.json,0,714,376,a3e02212,d6e9e2d2dd5ee3e2a215892281100751c4dc97d8da1e154463f3d52ff95494f7,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0720
Z000032,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/private/provider_tech/mandate-provider_tech-v1.json,0,1296,592,2706d4a2,1d4160ab887b1f8bcd38c3e3cdcad9d48356170775b619ecadfd4df9cec31567,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0101
Z000033,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/shared/events.jsonl,0,10944,3291,fed78ff0,6d721c059e28ad68b6670e6a8bc18c70cb845cefc16f461b5bb39d5f5686b150,jsonl,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0349
Z000034,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/shared/relation/current.json,0,7975,1761,48c5a8fc,66499282c8a5ef8535bfa51d0f0030513df758c3cdead84f556c19f5cad358cd,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0327
Z000035,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/shared/relation/versions/v0001.json,0,5062,1308,3504bcbd,33df71aac5c206d3ef417c266cc0b977a9b392c5ff41cdb913ca9b558026df09,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0161
Z000036,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/shared/relation/versions/v0002.json,0,7975,1761,48c5a8fc,66499282c8a5ef8535bfa51d0f0030513df758c3cdead84f556c19f5cad358cd,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0327
Z000037,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/change_report.json,0,10987,1006,a7fdf980,fca0ace82d8ae63b0617bc2e63b67bedbde9a9f11aea2f48417ff63bb90604a9,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0853
Z000038,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/compile_readiness.json,0,463,272,7950a258,96277f759b8f80d4952b1753e6711302f20552ba03a718a82a642a953cd40721,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0500
Z000039,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/metrics.json,0,978,496,a4ff95bf,ffab74112b7711585fb36f64e00657232b5068ea79dd289d751dea37965e8940,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0861
Z000040,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/redacted_export/REDACTION_NOTICE.json,0,252,193,cba2d311,59c15d3456f91d87d0b8b2c3ed769efa05a99c078ea50fef23bc13a4e26244b2,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0292
Z000041,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/redacted_export/case.json,0,1182,487,1c65f358,e52d36bd39a663da1553ebe6a84ed08d483a00901d99c15f8bed393ac2ee0419,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0782
Z000042,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/redacted_export/outputs/adj-828b3c4d381d.json,0,1137,629,6f563f55,247e24361aee514bab0e07caa171c803262194e108299bca80e7ce80f78c313b,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0121
Z000043,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/redacted_export/shared/events.jsonl,0,10944,3291,fed78ff0,6d721c059e28ad68b6670e6a8bc18c70cb845cefc16f461b5bb39d5f5686b150,jsonl,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0349
Z000044,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/redacted_export/shared/relation/current.json,0,7975,1761,48c5a8fc,66499282c8a5ef8535bfa51d0f0030513df758c3cdead84f556c19f5cad358cd,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0327
Z000045,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/redacted_export/shared/relation/versions/v0001.json,0,5062,1308,3504bcbd,33df71aac5c206d3ef417c266cc0b977a9b392c5ff41cdb913ca9b558026df09,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0161
Z000046,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/redacted_export/shared/relation/versions/v0002.json,0,7975,1761,48c5a8fc,66499282c8a5ef8535bfa51d0f0030513df758c3cdead84f556c19f5cad358cd,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0327
Z000047,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/sample_summary.json,0,1493,704,e54317f7,137300b07b7808b0dab2ab0abc9ec5dfcc9c96eb6f7f89ac99b9eb0685016743,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0063
Z000048,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/validation.json,0,128,94,ddc9a8ba,2191644eab70f28bafb0265836cd7773e376cf55de12e76eda66d740775134a5,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0116
Z000049,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/templates/README.md,0,671,510,9bc869a4,3211252d292eed485b38e3eca57ac5e5a10881cdd0be84af9f86b31d0102e3f6,md,v0.4-operationalization,instrument-or-code,supporting-material,zip-member,D0158
Z000050,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/templates/adjudication.json,0,536,297,33f4ddb5,37202b1979f65caa2b0e779102d945bb81ef4702822c4c9494dad697e28cdb2b,json,v0.4-operationalization,instrument-or-code,supporting-material,zip-member,D0173
Z000051,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/templates/case_screen.json,0,627,330,98d96cb2,7fa009914d1248d4cd9ed3a616a4c94e9bbeb483e0a52351100a99335d58b826,json,v0.4-operationalization,instrument-or-code,archival-calibration,zip-member,D0409
Z000052,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/templates/event_payload.json,0,230,134,5fb6f584,ef989ad1f2d072108ab3cb41872a003e58b772e185901035329f30d22029de81,json,v0.4-operationalization,instrument-or-code,supporting-material,zip-member,D0808
Z000053,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/templates/followup.json,0,371,209,a223b6e5,b7f0b58ba8087db60b874ed08eb993a45f51ebdd035cc9397fd0795e04f5e919,json,v0.4-operationalization,instrument-or-code,supporting-material,zip-member,D0605
Z000054,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/templates/mandate.json,0,550,253,1c650387,367f4cd52f3ae051830e50429bafe8d3e8fb036bfcc1bf0d1d680e024cc4c302,json,v0.4-operationalization,instrument-or-code,supporting-material,zip-member,D0171
Z000055,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/templates/private_intake.json,0,662,294,de2ad999,923e47b3574963cb20bac6fb156612d864ed15a79875f147c7294313cc098bf4,json,v0.4-operationalization,instrument-or-code,supporting-material,zip-member,D0479
Z000056,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/templates/relation_version.json,0,772,311,387b8dab,7c91b2d1f2487043200a1154001043bed75a48b28eb344d44cfe989df260dc9d,json,v0.4-operationalization,instrument-or-code,supporting-material,zip-member,D0401
Z000057,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/towow_fieldkit/README.md,0,5957,2969,6fb48e09,7a4c37713c5d083779920fc4f9fedf93af7bd0c84d2c4033b534faf852adef8b,md,v0.4-operationalization,instrument-or-code,supporting-material,zip-member,D0393
Z000058,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/towow_fieldkit/pyproject.toml,0,408,242,20436092,076e09052113e79e8c346f2d1c5918a014694867af490ba03b61459fddbcec37,toml,v0.4-operationalization,instrument-or-code,supporting-material,zip-member,D0027
Z000059,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/towow_fieldkit/tests/test_fieldkit.py,0,7268,1899,9784d5cb,982f2a31c148cc833f55c8ba1bfdd8f8488bdf5f9c208a30201f40749c877c5c,py,v0.4-operationalization,qa-or-test,implementation-assurance,zip-member,D0510
Z000060,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/towow_fieldkit/towow_fieldkit/__init__.py,0,209,153,59eca515,1d33e27ab8535649071a318a9604e80f874f88bd0b5b1e32650d552116977871,py,v0.4-operationalization,instrument-or-code,supporting-material,zip-member,D0100
Z000061,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/towow_fieldkit/towow_fieldkit/__main__.py,0,48,48,08937ce2,935a1c1166b0c1ea35a82256345000bf2c73ded718d77773bc27a71ecce28f7d,py,v0.4-operationalization,instrument-or-code,supporting-material,zip-member,D0485
Z000062,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/towow_fieldkit/towow_fieldkit/cli.py,0,6144,1599,67f687cb,117fcb9976e54a94eb1a9d7efec1b5511dab78aadbeb4cd7089c870e985abf63,py,v0.4-operationalization,instrument-or-code,supporting-material,zip-member,D0056
Z000063,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/towow_fieldkit/towow_fieldkit/schema_change.py,0,13990,3762,0111a91b,42e276501b93a6dc05358f3d672823a00f99dbe1d4cb6d76cfc8a6ad41de6cef,py,v0.4-operationalization,specification-or-protocol,supporting-material,zip-member,D0204
Z000064,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/towow_fieldkit/towow_fieldkit/store.py,0,13995,3638,942999a7,8827c08d906b1efddc7382ad4ca74ada56b2baf33c9d70cee93705e9738cf98d,py,v0.4-operationalization,instrument-or-code,supporting-material,zip-member,D0450
Z000065,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/qa/RELEASE_QA.md,0,1265,864,46d8cdfe,4734ba7e58fb1ddc0c9b68e2bae3488b438860032f2a4d8e5cfa4a4597392c01,md,v0.4-operationalization,qa-or-test,implementation-assurance,zip-member,D0221
Z000066,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/qa/fieldkit_tests.log,0,1312,319,a027955d,a4c6216f4e85d0f94b817dbef0f3199a44afe010e2dc82fd5f5545a10734ac28,log,v0.4-operationalization,qa-or-test,implementation-assurance,zip-member,D0543
Z000067,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/qa/full_rebuild.log,0,8427,2608,d225bb18,95c532bfded24f5579b134dc9393ef6057c94034ed3f57c8a9c182aff32cb335,log,v0.4-operationalization,qa-or-test,implementation-assurance,zip-member,D0499
Z000068,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/qa/historical_reverification.log,0,2340,975,98b4f43e,2638c13a887958eab8a96854dc47137310671ea17d7b1ceea980cbe95dad2acc,log,v0.4-operationalization,qa-or-test,implementation-assurance,zip-member,D0130
Z000069,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/qa/release_qa.json,0,1854,511,e93274f2,e574afeb22158a491472942dbdc71e87605182948016b7ee3889054ab85c88b5,json,v0.4-operationalization,qa-or-test,implementation-assurance,zip-member,D0784
Z000070,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/qa/release_qa.log,0,1854,511,e93274f2,e574afeb22158a491472942dbdc71e87605182948016b7ee3889054ab85c88b5,log,v0.4-operationalization,qa-or-test,implementation-assurance,zip-member,D0784
Z000071,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/qa/run_release_qa.py,0,5862,1968,65be5560,16be15b6b25df2748ef09d26ca3df6b106915b4b7c961f377088d88f2cbe815a,py,v0.4-operationalization,qa-or-test,implementation-assurance,zip-member,D0076
Z000072,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/real_world_protocol/00_READ_ME_FIRST.md,0,2182,1322,6ebfb63d,dc177edad332224cad8e0b3600326f09628f57c3d63e57c43b1073c755e1b7c6,md,v0.4-operationalization,specification-or-protocol,supporting-material,zip-member,D0746
Z000073,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/real_world_protocol/01_R7_最小原则性实验_v0.2.md,0,10375,5224,0e06a414,0a212208acd594224d8860444c34c5854d5a61a56e8a133d2829b3b42b0f8708,md,v0.4-operationalization,specification-or-protocol,supporting-material,zip-member,D0036
Z000074,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/real_world_protocol/02_Owner_资源与执行手册.md,0,12894,6168,ae08b6d0,ace4f9eb3eeaea742021526336e5dc2625fb60cf589d05b5c59e624288a119a8,md,v0.4-operationalization,specification-or-protocol,supporting-material,zip-member,D0569
Z000075,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/real_world_protocol/03_案例筛选与招募脚本.md,0,3587,2059,46b6b88f,018c168519c6b9affc7fda50bd62ef8befd4ef789403d5a9120513b5f44687ad,md,v0.4-operationalization,specification-or-protocol,supporting-material,zip-member,D0004
Z000076,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/real_world_protocol/04_示例案例_企业AI只读试点.md,0,5860,3093,88fee953,87941802972875c2298cf984da08239ff90692afe47cfdce31611d8d06fa99ec,md,v0.4-operationalization,specification-or-protocol,supporting-material,zip-member,D0449
Z000077,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/real_world_protocol/05_参与者操作清单.md,0,2336,1267,446f023a,a8e4b2818720012e80aced24df0f3d1731f17582434dcb53ee0a4ea26b53f188,md,v0.4-operationalization,specification-or-protocol,supporting-material,zip-member,D0559
