record_id,source_path,source_sha256,heading_level,heading,line_start,line_end,phase,artifact_type
S000026,01_INTERACTIONS_AND_CORRECTIONS/00_INTERACTION_CORRECTION_CHRONICLE.md,a37f9009cf57f9dcc2d3498a4b9fe8a83426548bb5f2dbbe5a1401e0a92c17eb,2,阶段 5：27 页“统一论文”被否定,37,42,interaction-correction,interaction-or-review
S000027,01_INTERACTIONS_AND_CORRECTIONS/00_INTERACTION_CORRECTION_CHRONICLE.md,a37f9009cf57f9dcc2d3498a4b9fe8a83426548bb5f2dbbe5a1401e0a92c17eb,2,阶段 6：下一轮从“完整”转向“可执行闭环”,43,48,interaction-correction,interaction-or-review
S000028,01_INTERACTIONS_AND_CORRECTIONS/00_INTERACTION_CORRECTION_CHRONICLE.md,a37f9009cf57f9dcc2d3498a4b9fe8a83426548bb5f2dbbe5a1401e0a92c17eb,2,阶段 7：真人实验方案与内部可做研究,49,54,interaction-correction,interaction-or-review
S000029,01_INTERACTIONS_AND_CORRECTIONS/00_INTERACTION_CORRECTION_CHRONICLE.md,a37f9009cf57f9dcc2d3498a4b9fe8a83426548bb5f2dbbe5a1401e0a92c17eb,2,阶段 8：审稿 v1——把重量搬到证据在的地方,55,60,interaction-correction,interaction-or-review
S000030,01_INTERACTIONS_AND_CORRECTIONS/00_INTERACTION_CORRECTION_CHRONICLE.md,a37f9009cf57f9dcc2d3498a4b9fe8a83426548bb5f2dbbe5a1401e0a92c17eb,2,阶段 9：审稿 v2——求解效率重置,61,66,interaction-correction,interaction-or-review
S000031,01_INTERACTIONS_AND_CORRECTIONS/00_INTERACTION_CORRECTION_CHRONICLE.md,a37f9009cf57f9dcc2d3498a4b9fe8a83426548bb5f2dbbe5a1401e0a92c17eb,2,当前状态,67,74,interaction-correction,interaction-or-review
S000032,01_INTERACTIONS_AND_CORRECTIONS/01_RESEARCH_REQUIREMENTS_CONSTITUTION.md,05c55789c6ca52005c3d72a8efbd1783251c68ba093ef949b35b7f7920a3c19f,1,研究要求宪法：历次交互中稳定不变的约束,1,46,interaction-correction,interaction-or-review
S000033,01_INTERACTIONS_AND_CORRECTIONS/01_RESEARCH_REQUIREMENTS_CONSTITUTION.md,05c55789c6ca52005c3d72a8efbd1783251c68ba093ef949b35b7f7920a3c19f,2,A. 研究对象,3,9,interaction-correction,interaction-or-review
S000034,01_INTERACTIONS_AND_CORRECTIONS/01_RESEARCH_REQUIREMENTS_CONSTITUTION.md,05c55789c6ca52005c3d72a8efbd1783251c68ba093ef949b35b7f7920a3c19f,2,B. 真正问题,10,16,interaction-correction,interaction-or-review
S000035,01_INTERACTIONS_AND_CORRECTIONS/01_RESEARCH_REQUIREMENTS_CONSTITUTION.md,05c55789c6ca52005c3d72a8efbd1783251c68ba093ef949b35b7f7920a3c19f,2,C. 机制立场,17,23,interaction-correction,interaction-or-review
S000036,01_INTERACTIONS_AND_CORRECTIONS/01_RESEARCH_REQUIREMENTS_CONSTITUTION.md,05c55789c6ca52005c3d72a8efbd1783251c68ba093ef949b35b7f7920a3c19f,2,D. 价值目标,24,30,interaction-correction,interaction-or-review
S000037,01_INTERACTIONS_AND_CORRECTIONS/01_RESEARCH_REQUIREMENTS_CONSTITUTION.md,05c55789c6ca52005c3d72a8efbd1783251c68ba093ef949b35b7f7920a3c19f,2,E. 证据纪律,31,39,interaction-correction,interaction-or-review
S000038,01_INTERACTIONS_AND_CORRECTIONS/01_RESEARCH_REQUIREMENTS_CONSTITUTION.md,05c55789c6ca52005c3d72a8efbd1783251c68ba093ef949b35b7f7920a3c19f,2,F. 文档纪律,40,46,interaction-correction,interaction-or-review
S000039,01_INTERACTIONS_AND_CORRECTIONS/04_REVIEW_TO_v1.2_DECISION_RESET.md,1557f1b998822e5ec5af4ffa3980eec0eeb47b739c7c7751ce8134bb2fad6753,1,通爻 v1.2 研究程序重置：以设计判别信息为中心,1,122,interaction-correction,interaction-or-review
S000040,01_INTERACTIONS_AND_CORRECTIONS/04_REVIEW_TO_v1.2_DECISION_RESET.md,1557f1b998822e5ec5af4ffa3980eec0eeb47b739c7c7751ce8134bb2fad6753,2,1. 本轮接受的核心诊断,7,16,interaction-correction,interaction-or-review
S000041,01_INTERACTIONS_AND_CORRECTIONS/04_REVIEW_TO_v1.2_DECISION_RESET.md,1557f1b998822e5ec5af4ffa3980eec0eeb47b739c7c7751ce8134bb2fad6753,2,2. 文档身份调整,17,26,interaction-correction,interaction-or-review
S000042,01_INTERACTIONS_AND_CORRECTIONS/04_REVIEW_TO_v1.2_DECISION_RESET.md,1557f1b998822e5ec5af4ffa3980eec0eeb47b739c7c7751ce8134bb2fad6753,2,3. 已经形成的最重要设计结论,27,34,interaction-correction,interaction-or-review
S000043,01_INTERACTIONS_AND_CORRECTIONS/04_REVIEW_TO_v1.2_DECISION_RESET.md,1557f1b998822e5ec5af4ffa3980eec0eeb47b739c7c7751ce8134bb2fad6753,2,4. 立即停止或降级的工作,35,48,interaction-correction,interaction-or-review
S000044,01_INTERACTIONS_AND_CORRECTIONS/04_REVIEW_TO_v1.2_DECISION_RESET.md,1557f1b998822e5ec5af4ffa3980eec0eeb47b739c7c7751ce8134bb2fad6753,2,5. 当前六个真正待决问题,49,86,interaction-correction,interaction-or-review
S000045,01_INTERACTIONS_AND_CORRECTIONS/04_REVIEW_TO_v1.2_DECISION_RESET.md,1557f1b998822e5ec5af4ffa3980eec0eeb47b739c7c7751ce8134bb2fad6753,3,Q1 强中心 Agent 是否已经足够,51,59,interaction-correction,interaction-or-review
S000046,01_INTERACTIONS_AND_CORRECTIONS/04_REVIEW_TO_v1.2_DECISION_RESET.md,1557f1b998822e5ec5af4ffa3980eec0eeb47b739c7c7751ce8134bb2fad6753,3,Q2 真实 OPC 能否维护显式 Mandate,60,65,interaction-correction,interaction-or-review
S000047,01_INTERACTIONS_AND_CORRECTIONS/04_REVIEW_TO_v1.2_DECISION_RESET.md,1557f1b998822e5ec5af4ffa3980eec0eeb47b739c7c7751ce8134bb2fad6753,3,Q3 一条真实 causal formation 是否存在,66,71,interaction-correction,interaction-or-review
S000048,01_INTERACTIONS_AND_CORRECTIONS/04_REVIEW_TO_v1.2_DECISION_RESET.md,1557f1b998822e5ec5af4ffa3980eec0eeb47b739c7c7751ce8134bb2fad6753,3,Q4 Router 判据能否由真实输入可靠获得,72,76,interaction-correction,interaction-or-review
S000049,01_INTERACTIONS_AND_CORRECTIONS/04_REVIEW_TO_v1.2_DECISION_RESET.md,1557f1b998822e5ec5af4ffa3980eec0eeb47b739c7c7751ce8134bb2fad6753,3,Q5 编译复用是否产生现实净值,77,81,interaction-correction,interaction-or-review
S000050,01_INTERACTIONS_AND_CORRECTIONS/04_REVIEW_TO_v1.2_DECISION_RESET.md,1557f1b998822e5ec5af4ffa3980eec0eeb47b739c7c7751ce8134bb2fad6753,3,Q6 适用市场的对抗边界,82,86,interaction-correction,interaction-or-review
S000051,01_INTERACTIONS_AND_CORRECTIONS/04_REVIEW_TO_v1.2_DECISION_RESET.md,1557f1b998822e5ec5af4ffa3980eec0eeb47b739c7c7751ce8134bb2fad6753,2,6. v1.2 唯一优先级,87,97,interaction-correction,interaction-or-review
S000052,01_INTERACTIONS_AND_CORRECTIONS/04_REVIEW_TO_v1.2_DECISION_RESET.md,1557f1b998822e5ec5af4ffa3980eec0eeb47b739c7c7751ce8134bb2fad6753,2,7. 研究账本新字段,98,111,interaction-correction,interaction-or-review
S000053,01_INTERACTIONS_AND_CORRECTIONS/04_REVIEW_TO_v1.2_DECISION_RESET.md,1557f1b998822e5ec5af4ffa3980eec0eeb47b739c7c7751ce8134bb2fad6753,2,8. 当前产品顺序的暂定假说,112,122,interaction-correction,interaction-or-review
S000054,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,1,审稿意见：《主权智能主体的共同现实形成》v1.1,1,84,interaction-correction,interaction-or-review
S000055,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,2,审稿意见 v1,5,84,interaction-correction,interaction-or-review
S000056,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,3,M1. 形态：三份文档缝成一份,11,18,interaction-correction,interaction-or-review
S000057,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,3,M2. 命题体系需要分类,19,24,interaction-correction,interaction-or-review
S000058,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,3,M3. 证据自指闭环,25,28,interaction-correction,interaction-or-review
S000059,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,3,M4. 最强证据被埋没,29,34,interaction-correction,interaction-or-review
S000060,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,3,M5. 必须回答“为什么不是 FIPA 2.0”,35,44,interaction-correction,interaction-or-review
S000061,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,3,M6. 强中心对手没有公平出场,45,48,interaction-correction,interaction-or-review
S000062,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,3,M7. 真人实验设计好但过重,49,52,interaction-correction,interaction-or-review
S000063,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,3,M8. 术语负担,53,56,interaction-correction,interaction-or-review
S000064,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,3,M9. 博弈论威胁,57,60,interaction-correction,interaction-or-review
S000065,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,3,M10. 公开语料与 QDR,61,64,interaction-correction,interaction-or-review
S000066,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,3,Minor,65,76,interaction-correction,interaction-or-review
S000067,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,3,v1 的前三优先级,77,84,interaction-correction,interaction-or-review
S000068,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,1,审稿意见 v2：按“求解文档”标准重审,85,174,interaction-correction,interaction-or-review
S000069,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,2,1. 实验开工判据,91,98,interaction-correction,interaction-or-review
S000070,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,2,2. 常识过度论证,99,111,interaction-correction,interaction-or-review
S000071,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,2,3. 真正待决的设计问题,112,137,interaction-correction,interaction-or-review
S000072,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,3,Q1. 强中心 Agent 是否足够,114,117,interaction-correction,interaction-or-review
S000073,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,3,Q2. 真实用户能否维护显式 Mandate,118,121,interaction-correction,interaction-or-review
S000074,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,3,Q3. 是否存在真实 causal formation,122,125,interaction-correction,interaction-or-review
S000075,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,3,Q4. Router 判据能否从真实输入算出,126,129,interaction-correction,interaction-or-review
S000076,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,3,Q5. 编译复用的真实净值,130,133,interaction-correction,interaction-or-review
S000077,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,3,Q6. 对抗域边界,134,137,interaction-correction,interaction-or-review
S000078,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,2,4. 证据账本应按决策重组,138,147,interaction-correction,interaction-or-review
S000079,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,2,5. OPC 是参数空间极点，不是理论边界,148,151,interaction-correction,interaction-or-review
S000080,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,2,6. 对外形态按需触发,152,155,interaction-correction,interaction-or-review
S000081,01_INTERACTIONS_AND_CORRECTIONS/reviews/REVIEW_v1_and_v2_full.md,e3c36a9f3c56b22af3153f2757e3e591f0220fb967081bce220de80e13022130,2,v2 优先级,156,174,interaction-correction,interaction-or-review
S000082,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/00_EXECUTIVE_FINDINGS.md,e6497025be9ea9d2c3001c76565acca46b83462c4c6986cfc8206ee0635746f3,1,本轮执行结论：通爻 A2A 独立理论重建 v0.3,1,174,v0.3-independent-rebuild,orientation
S000083,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/00_EXECUTIVE_FINDINGS.md,e6497025be9ea9d2c3001c76565acca46b83462c4c6986cfc8206ee0635746f3,2,一、现在可以更准确地说：我们研究的是什么,6,13,v0.3-independent-rebuild,orientation
S000084,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/00_EXECUTIVE_FINDINGS.md,e6497025be9ea9d2c3001c76565acca46b83462c4c6986cfc8206ee0635746f3,2,二、Agent 不再等同于模型、进程或单一人格,14,37,v0.3-independent-rebuild,orientation
S000085,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/00_EXECUTIVE_FINDINGS.md,e6497025be9ea9d2c3001c76565acca46b83462c4c6986cfc8206ee0635746f3,2,三、越强的模型，越不能依赖模糊授权,38,58,v0.3-independent-rebuild,orientation
S000086,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/00_EXECUTIVE_FINDINGS.md,e6497025be9ea9d2c3001c76565acca46b83462c4c6986cfc8206ee0635746f3,2,四、A2A 的本质是权威拓扑，不是点对点消息拓扑,59,74,v0.3-independent-rebuild,orientation
S000087,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/00_EXECUTIVE_FINDINGS.md,e6497025be9ea9d2c3001c76565acca46b83462c4c6986cfc8206ee0635746f3,2,五、中心化的正确问题是 `CollapseSafe`，不是立场选择,75,82,v0.3-independent-rebuild,orientation
S000088,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/00_EXECUTIVE_FINDINGS.md,e6497025be9ea9d2c3001c76565acca46b83462c4c6986cfc8206ee0635746f3,2,六、平台处理标准品；通爻形成非标准关系对象,83,101,v0.3-independent-rebuild,orientation
S000089,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/00_EXECUTIVE_FINDINGS.md,e6497025be9ea9d2c3001c76565acca46b83462c4c6986cfc8206ee0635746f3,2,七、目标从“提高成交”改为“更快到达真实稳定处置”,102,115,v0.3-independent-rebuild,orientation
S000090,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/00_EXECUTIVE_FINDINGS.md,e6497025be9ea9d2c3001c76565acca46b83462c4c6986cfc8206ee0635746f3,2,八、数据不是在系统里搬运，而是在使用中持续产生,116,123,v0.3-independent-rebuild,orientation
S000091,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/00_EXECUTIVE_FINDINGS.md,e6497025be9ea9d2c3001c76565acca46b83462c4c6986cfc8206ee0635746f3,2,九、统一结构不再是全局 L0→L7 单向流水线,124,135,v0.3-independent-rebuild,orientation
S000092,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/00_EXECUTIVE_FINDINGS.md,e6497025be9ea9d2c3001c76565acca46b83462c4c6986cfc8206ee0635746f3,2,十、门控状态机的建设性价值,136,141,v0.3-independent-rebuild,orientation
S000093,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/00_EXECUTIVE_FINDINGS.md,e6497025be9ea9d2c3001c76565acca46b83462c4c6986cfc8206ee0635746f3,2,十一、本轮真正新增的不是漂亮数字，而是十个设计改变,142,154,v0.3-independent-rebuild,orientation
S000094,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/00_EXECUTIVE_FINDINGS.md,e6497025be9ea9d2c3001c76565acca46b83462c4c6986cfc8206ee0635746f3,2,十二、证据目前到哪里,155,165,v0.3-independent-rebuild,orientation
S000095,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/00_EXECUTIVE_FINDINGS.md,e6497025be9ea9d2c3001c76565acca46b83462c4c6986cfc8206ee0635746f3,2,十三、下一道真正决定系统是否成立的实验,166,174,v0.3-independent-rebuild,orientation
S000096,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/README.md,9ec2be4c8286cf1e4d9a815191463f9d367f9fa7467c47e3ba59431a15f6045a,1,通爻 A2A 独立研究包 v0.3,1,145,v0.3-independent-rebuild,orientation
S000097,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/README.md,9ec2be4c8286cf1e4d9a815191463f9d367f9fa7467c47e3ba59431a15f6045a,2,本轮最重要的收敛,15,24,v0.3-independent-rebuild,orientation
S000098,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/README.md,9ec2be4c8286cf1e4d9a815191463f9d367f9fa7467c47e3ba59431a15f6045a,2,建议阅读顺序,25,39,v0.3-independent-rebuild,orientation
S000099,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/README.md,9ec2be4c8286cf1e4d9a815191463f9d367f9fa7467c47e3ba59431a15f6045a,2,实验与实现规模,40,63,v0.3-independent-rebuild,orientation
S000100,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/README.md,9ec2be4c8286cf1e4d9a815191463f9d367f9fa7467c47e3ba59431a15f6045a,3,R6 机制判别组,42,52,v0.3-independent-rebuild,orientation
S000101,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/README.md,9ec2be4c8286cf1e4d9a815191463f9d367f9fa7467c47e3ba59431a15f6045a,3,独立交叉验证组,53,63,v0.3-independent-rebuild,orientation
S000102,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/README.md,9ec2be4c8286cf1e4d9a815191463f9d367f9fa7467c47e3ba59431a15f6045a,2,复现 R6,64,83,v0.3-independent-rebuild,orientation
S000103,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/README.md,9ec2be4c8286cf1e4d9a815191463f9d367f9fa7467c47e3ba59431a15f6045a,2,复现独立交叉验证,84,95,v0.3-independent-rebuild,orientation
S000104,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/README.md,9ec2be4c8286cf1e4d9a815191463f9d367f9fa7467c47e3ba59431a15f6045a,2,运行最小语义内核,96,105,v0.3-independent-rebuild,orientation
S000105,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/README.md,9ec2be4c8286cf1e4d9a815191463f9d367f9fa7467c47e3ba59431a15f6045a,2,运行真实案例现场仪器,106,118,v0.3-independent-rebuild,orientation
S000106,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/README.md,9ec2be4c8286cf1e4d9a815191463f9d367f9fa7467c47e3ba59431a15f6045a,2,证据边界,119,130,v0.3-independent-rebuild,orientation
S000107,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/README.md,9ec2be4c8286cf1e4d9a815191463f9d367f9fa7467c47e3ba59431a15f6045a,2,当前硬外部资源门,131,136,v0.3-independent-rebuild,orientation
S000108,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/README.md,9ec2be4c8286cf1e4d9a815191463f9d367f9fa7467c47e3ba59431a15f6045a,2,完整性,137,145,v0.3-independent-rebuild,orientation
S000109,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/evidence/01_实验与证据总账_v0.2.md,28d3fc0eb6fb96d6022b23ca17e0a3590233dc2c7585c9ff7fb23389f250af17,1,实验与证据总账 v0.2,1,72,v0.3-independent-rebuild,evidence-or-decision-ledger
