duplicate_group,sha256,copy_count,members
D0011,03ef81ef78dc53493f745ca7b1ff7ddd144be8df0b6ee74ec5413cfff15a652f,2,Z000229:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.6.zip!/Towow_A2A_Independent_Research_v0.6/public_evidence/archival_contrast/cases/PEA-05.md || Z000533:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.7.zip!/Towow_A2A_Independent_Research_v0.7/public_evidence/archival_contrast/cases/PEA-05.md
D0012,0449a44ccf81de4d053c2c5573d095f74d50c2c0ce03c83e526eac840ecc2528,3,Z001420:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1).zip!/PRSE-OS_完整开发包_v0.3-dev/13_ARCHIVE/v0.2/expanded/PRSE-AI-Native-SpecKit_v0.2/02_method_runtime/runtime.contract.yaml || Z001904:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1)/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev/13_ARCHIVE/v0.2/PRSE-AIσÄƒτöƒΦºäµá╝Φ┐ÉΦíîσîà_v0.2_σÉ½σÅ¼Θ¢åσÅ░σÅéΦÇâσ«₧τÄ░.zip!/PRSE-AI-Native-SpecKit_v0.2/02_method_runtime/runtime.contract.yaml || Z001928:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1)/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev/13_ARCHIVE/v0.2/expanded/PRSE-AI-Native-SpecKit_v0.2/02_method_runtime/runtime.contract.yaml
D0013,046bbdf4587bacc1ba92e37765c1b81568a3fe30e818e36fda0f6bd760c716b9,4,Z001089:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/ΘÇÜτê╗_A2A_τ╗ƒΣ╕ÇΦ«║µûç_µ║ÉµûçΣ╗╢Σ╕ÄΦ»üµì«Φ┤ªµ£¼.zip!/source_package/claim_evidence_register.csv || Z001482:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/current_synthesis/unified_paper_source/claim_evidence_register.csv || Z001507:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/current_synthesis/unified_source_package/claim_evidence_register.csv || Z002546:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/core_sources/claim_evidence_register.csv
D0014,04c01fc4ff7195c21f1039433c132da329df54d1c5bebdf8aaa56bf7e4e6a84e,2,Z000966:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/return-packet.zip!/return-packet/experiments/r5-run-004-sovereign-workspace/attempt3-canonical-path/outputs/summary.json || Z002336:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/return-packet/return-packet/experiments/r5-run-004-sovereign-workspace/attempt3-canonical-path/outputs/summary.json
D0015,04c281d6f7dc373acb1d27fab70d127e0baf529be8514abeec78b8347a27d519,6,Z000936:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/return-packet.zip!/return-packet/experiments/r5-run-004-sovereign-workspace/attempt2-literal-deny/outputs/tampered_public/verdict.json || Z000973:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/return-packet.zip!/return-packet/experiments/r5-run-004-sovereign-workspace/attempt3-canonical-path/outputs/tampered_public/verdict.json || Z001017:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/return-packet.zip!/return-packet/experiments/r5-run-004-sovereign-workspace/outputs/tampered_public/verdict.json || Z002301:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/return-packet/return-packet/experiments/r5-run-004-sovereign-workspace/outputs/tampered_public/verdict.json || Z002322:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/return-packet/return-packet/experiments/r5-run-004-sovereign-workspace/attempt3-canonical-path/outputs/tampered_public/verdict.json || Z002380:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/return-packet/return-packet/experiments/r5-run-004-sovereign-workspace/attempt2-literal-deny/outputs/tampered_public/verdict.json
D0016,04e0eaeef6549faea8ff6471fef1ea8c68b7e597ac5ddeed12148b35837cb8b0,3,Z001396:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1).zip!/PRSE-OS_完整开发包_v0.3-dev/13_ARCHIVE/v0.1/expanded/PRSE-OS_v0.1/06_artifacts/templates/object_card.md || Z001843:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1)/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev/13_ARCHIVE/v0.1/PRSE-OS_v0.1_µû╣µ│òΦ«║Φ┐ÉΦíîσîà.zip!/PRSE-OS_v0.1/06_artifacts/templates/object_card.md || Z001877:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1)/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev/13_ARCHIVE/v0.1/expanded/PRSE-OS_v0.1/06_artifacts/templates/object_card.md
D0017,0550d515777e80f01812f85a2ec419ea5d655c80ac87abfa84d5917c973da31f,2,Z001370:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1).zip!/PRSE-OS_完整开发包_v0.3-dev/12_ROADMAP/research_backlog.yaml || Z001765:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1)/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev/12_ROADMAP/research_backlog.yaml
D0018,056d32afd7f263597ff2eb29cf5ea9105dda32ab3b47ef9292db3382e785a16d,2,Z000204:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.6.zip!/Towow_A2A_Independent_Research_v0.6/instrument/towow_fieldkit/pyproject.toml || Z000504:02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.7.zip!/Towow_A2A_Independent_Research_v0.7/instrument/towow_fieldkit/pyproject.toml
D0019,059973f58be8735daff8b0f2b527a75f916550f9162c6f8b0a4a97f58990a1b5,3,Z001212:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/Towow_A2A_R5_Constructive_Flagship_Local_Research_Packet_v1.5.zip!/towow_a2a_r5_constructive_packet_v1.5/00_README_START_HERE.md || Z001680:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/R5C-RETURN-001/R5C-RETURN-001/INPUTS/00_README_START_HERE.md || Z002501:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/Towow_A2A_R5_Constructive_Flagship_Local_Research_Packet_v1.5/towow_a2a_r5_constructive_packet_v1.5/00_README_START_HERE.md
D0020,069dbba68d2cbab21703ea030a55bf88ae5df27aa11c469abddebe8438ac5a5a,4,Z001229:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/Towow_A2A_R5_Constructive_Flagship_Local_Research_Packet_v1.5.zip!/towow_a2a_r5_constructive_packet_v1.5/schemas/return_manifest.schema.json || Z001686:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/R5C-RETURN-001/R5C-RETURN-001/INPUTS/schemas/return_manifest.schema.json || Z001697:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/R5C-RETURN-001/R5C-RETURN-001/SCHEMAS/return_manifest.schema.json || Z002507:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/Towow_A2A_R5_Constructive_Flagship_Local_Research_Packet_v1.5/towow_a2a_r5_constructive_packet_v1.5/schemas/return_manifest.schema.json
D0021,06d1fe85cf51a837bef8db3896fd79c4486fc029b9517a5cf2949154fda95862,2,Z000890:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/return-packet.zip!/return-packet/experiments/r5-run-003-action-space-claims/logs/docker_daemon_query.stderr.log || Z002252:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/return-packet/return-packet/experiments/r5-run-003-action-space-claims/logs/docker_daemon_query.stderr.log
D0022,06d9171c1949dbad82a5bc84b88878ec37bdb8ad2513c89c425eeb2de2690611,2,Z001255:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1).zip!/PRSE-OS_完整开发包_v0.3-dev/02_DESIGN_PROCESS/05_rejected_and_deferred.md || Z001791:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1)/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev/02_DESIGN_PROCESS/05_rejected_and_deferred.md
D0023,07024ae55b64bf526034859e72a1703dcdee7988b42cab9aeca8e23c9324ccd8,2,Z001065:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/ΘÇÜτê╗_A2A_τ¼¼Σ║îΦ╜«τáöτ⌐╢_σ«îµò┤τáöτ⌐╢σîà(1).zip!/towow_round2_release/reference_engine/towow_sjac/events.py || Z001624:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/ΘÇÜτê╗_A2A_τ¼¼Σ║îΦ╜«τáöτ⌐╢_σ«îµò┤τáöτ⌐╢σîà(1)/towow_round2_release/reference_engine/towow_sjac/events.py
D0024,07460534fa0a34244f5f8a38225c652b2f6ea9d1aff146fca0f3eea373855b3d,3,Z001378:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1).zip!/PRSE-OS_完整开发包_v0.3-dev/13_ARCHIVE/v0.1/expanded/PRSE-OS_v0.1/02_capabilities/capability_model.md || Z001823:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1)/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev/13_ARCHIVE/v0.1/PRSE-OS_v0.1_µû╣µ│òΦ«║Φ┐ÉΦíîσîà.zip!/PRSE-OS_v0.1/02_capabilities/capability_model.md || Z001857:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1)/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev/13_ARCHIVE/v0.1/expanded/PRSE-OS_v0.1/02_capabilities/capability_model.md
D0025,0748b42f782de61ff0900e9181b0af555401302ad3bcce90f1aefcc12cf7acea,2,Z001250:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/original_archives/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1).zip!/PRSE-OS_完整开发包_v0.3-dev/02_DESIGN_PROCESS/00_process_overview.md || Z001786:02_WORKSPACE_SNAPSHOT/Towow_A2A_Research_Handoff_Full_Archive_v1.0(1).zip!/Towow_A2A_Research_Handoff_v1.0/full_archive/extracted_sources/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev_σÅ»Σ║ñµÄÑµ£¼σ£░σ¢óΘÿƒ(1)/PRSE-OS_σ«îµò┤σ╝ÇσÅæσîà_v0.3-dev/02_DESIGN_PROCESS/00_process_overview.md
