record_id,relative_path,size_bytes,sha256,extension,phase,artifact_type,evidence_role,status,duplicate_group
P0016,02_WORKSPACE_SNAPSHOT/Agent-to-Agent 研究重建.txt,17769,a8ad54f2f08481a53da70d088d8c1f817b462e007335b36e77293713d30c4e6d,txt,interaction-correction,text-source,supporting-material,current-archive-metadata,D0558
P0025,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-1.png,114405,58d14fd6c8371ed8b74b63deafa65dc5d09a2277b94557935413b13866341de1,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0026,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-10.png,323667,563d4e1b9452a97d04469e585a37d91625fdef0b7612cf79aad1ffc53ee3bdb0,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0027,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-11.png,178247,fef505cf6828246e68a853193f053ce65dda1c32c4eeee99c3a68e0687ce21c2,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0028,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-12.png,467076,a346b2b50b75767bb81fd01132f10427113ba6dfc1032aafce72f9c82177db17,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0029,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-13.png,416237,1069c571acaf759473459efce051b593494f70d3b8c38a625ee5fd6086aa53dc,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0030,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-14.png,136653,56f1b8102763529b5ebb6fb91f8e076a261c7ed58aaaf2e4a0866917c943ac7c,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0031,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-15.png,355140,4778fdb1e239eea049b2d04196ee07398d95ef4cbcc61808a612dc68bba2758d,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0032,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-16.png,368115,38a826a6f3087c17064b08fc6e5bb59779a8917f6c7e6da78cd14bbc783e9323,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0033,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-17.png,221261,0408cbc1db46bfb60750d11719bdcaffccb179543851592cab9dcab0839cc759,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0034,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-18.png,346969,38aba531720918879c99ab1670a4294266123893ca45852fb72be9ec10740923,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0035,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-19.png,237202,8317481b2dd3d7960eefc46f8e74c37e14cb985440e2edc42262794f4d391c36,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0036,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-2.png,155018,84e0b49c4957c9728f42d73e12b9bdeaa2136f0262430adaae96ca028c5bb480,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0037,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-20.png,366894,620c71d5ce499bbf0da5a3a5f5d6ee0e0bb8565f8d25f7ad62d0021da2b5b34e,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0038,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-21.png,182937,bc7927a74b76a2db4d01db197e445ed343838c6f046643b3d390e5a83a6f54a3,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0039,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-22.png,348918,8d0d8fd47778984932f8bf2eff2c938740097a8552c59312dec709ae811df65e,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0040,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-23.png,207740,9a96ade1996c079055787228f95a539a991dd0c4430d16d6339230294475f78f,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0041,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-24.png,195236,81c8d7628190fa5b44da56a59cc666bcc2de118f5d4cb001df84cc787ba7c64c,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0042,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-25.png,132701,56ec2cc97d3640506d7cc9b282ada6ac7693bad4c63e433aadec443891ae1346,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0043,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-26.png,228537,bfade201ba679772e54baa00d67f0d1f6b79584567cb890e9c8a7c8dab44aba6,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0044,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-27.png,272698,00ef15c439a36c98c6bd0fbf076df4671e1c5df9af17832646d249203ec0a5f9,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0045,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-28.png,92584,32feff47c6193bec208c1f2f5c13df0cd6f9b4e1f04ae19e1e324a89b6a5c9eb,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0046,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-29.png,342973,c69ba793079a6f0cc51ee78b042bae43f947eedce2c61b8908a920c24be3f4b3,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0047,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-3.png,255988,f937725cc40f669a941fdeb15fba212363d2b5ee6a3d70c5e5f44f89b1b7b22c,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0048,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-30.png,63334,07f3f64d9c6a4c2dcadf8db00ec3be12dce0afc6126af9e682b61506789992ca,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0049,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-31.png,239985,f04bb0fc0d4e30e54a69e3fea83f13fbc4cca107dbf3479c88d5e8fa51dd1f7c,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0050,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-32.png,221567,38e9a58fdbc9dc5bf25bbc775b496dff5544b08baccbd6e94e7708d8131e3945,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0051,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-33.png,221127,133a940b6bc1aa7983349567858c9e5b02af2af4e671325bafa0e7b326f81584,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0052,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-34.png,237106,bba82abe00fbb181225a17af502d3eb58fa821776cd78fc5f882dcb6f6898622,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0053,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-35.png,256273,2cb1c5d4a25d2966592152f0aab8773f3d436affd262cc515181be130c5128df,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0054,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-36.png,290186,e701502fac03fb8ba38db7ed04d28a9f29ebac968c16285778ac87a6e2d87edb,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0055,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-37.png,80455,3e3c4ee5b45603314c5ba17bbaf1b6103e525666522e16b1c8de4b2e043c1439,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0056,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-38.png,272043,205e67d7bf9b8a8a199569a6ceb8a0356ada5c06fe55958cfe530b872991bf14,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0057,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-39.png,214323,5f11ca9c7e3a087aa0f922b869bfadd711b92e2df0ee61e767e321928e234633,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0058,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-4.png,238796,685af523a4e75c1366eec75fe72d817955c8292d024d097ae549cbf1ea883070,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0059,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-40.png,83779,24ba423e33e9803c8487977c9bb18be644c49a16b4b812419b547e0e75f0b430,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0060,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-41.png,190095,13c49edb92c637503f765cdc3e7806f091b3ef4c4b99eb1165be67eb1f8dedf2,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0061,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-42.png,180612,3ac38a8f3705c2e132b6db57a80c2b098e6ceca1120ad39583b5632f3d0ff37d,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0062,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-43.png,303597,f62c9f96a4e77d44dbc898f25be76332a1e02a816110e6f80e157e22de48b412,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0063,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-44.png,230971,96798502e8a09ba51aa7a6b237202936684f6ed082cb1a3757f90e6825940c6e,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0064,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-45.png,308834,f3b4ae6af406269db05cc63fc878db6bcd74fb911a68bd59bdc5d58a5daed64d,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0065,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-46.png,116008,64a4e056468e9a75527757020e6863882e318a275d893fa272a2ef94b8c951f9,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0066,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-47.png,85769,991fb2ec8534f98062d558cecc991f9c6c0ef5c2ea30edd0e2be72d5f1ac110f,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0067,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-48.png,332864,495d8beeac7cf5da0655d335b4c6386eda56607c5aeddeae7fe86b31aa4212dc,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0068,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-5.png,44181,849548df5ffefb48d1f2685eddef7adb63ab31b89db607f97d67682cef2a2f08,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0069,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-6.png,573556,a76d0d528510f64a8b5d75ac5a75b08691818cb192240e6bc80be1616e83bb59,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0070,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-7.png,49326,8d527a3ebc1b86871078b0ab9bd403400322f5de3eb8b5a08657acf247bf53b5,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0071,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-8.png,301163,427c3c076bd207175d12043a697a20f98c236ff3015a794abf75211ea105ec19,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0072,02_WORKSPACE_SNAPSHOT/QA_RENDER_EVIDENCE/user-c7WrffMT2eaiZq7eaFnnzWFW/39db41006f5048188d016e9c4171df4e/mnt/data/Towow_Agentic_OPC_Research_v0.7/qa/render_docx/page-9.png,397469,2b3196d3b3122bb13c29a6cafbd281ce7ebb1098ce9dc91b487bcd83b01e8626,png,v0.7-opc-focus,figure-or-render,supporting-material,derived-render-evidence,
P0074,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/00_EXECUTIVE_FINDINGS.md,16222,e6497025be9ea9d2c3001c76565acca46b83462c4c6986cfc8206ee0635746f3,md,v0.3-independent-rebuild,orientation,supporting-material,historical-source-or-working-artifact,
P0075,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/README.md,7630,9ec2be4c8286cf1e4d9a815191463f9d367f9fa7467c47e3ba59431a15f6045a,md,v0.3-independent-rebuild,orientation,supporting-material,historical-source-or-working-artifact,
P0077,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/evidence/01_实验与证据总账_v0.2.md,3948,28d3fc0eb6fb96d6022b23ca17e0a3590233dc2c7585c9ff7fb23389f250af17,md,v0.3-independent-rebuild,evidence-or-decision-ledger,supporting-material,historical-source-or-working-artifact,
P0078,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/evidence/claim_evidence_design_delta_v0.2.md,19543,e452680383d5ba3b45f07f470d6f4ca758a453feaa068d36ecbc80ebc23afb69,md,v0.3-independent-rebuild,evidence-or-decision-ledger,supporting-material,historical-source-or-working-artifact,
P0080,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/experiments/00_跨实验综合与可靠性审查_v0.3.md,30294,c809c93745b3f80e3e3f770930e4331921371331aee04eb090aa1554fd20d068,md,v0.3-independent-rebuild,experiment-or-result,mechanism-test-or-result,historical-source-or-working-artifact,
P0081,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/experiments/R6_机制判别实验报告_v0.2.md,24413,060186326103bff7766331be4f691718bba1f1f2185c3959203cd4dd4a87f733,md,v0.3-independent-rebuild,experiment-or-result,mechanism-test-or-result,historical-source-or-working-artifact,
P0083,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/experiments/cross_validation_suite/定量机制实验报告_v0.1.md,21965,ea6b18531978d9ee32cda4707f7a2e418ce615b6155efb0e3e2fd23f6dfa742a,md,v0.3-independent-rebuild,experiment-or-result,mechanism-test-or-result,historical-source-or-working-artifact,
P0085,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/prototype/README.md,2920,8926a819750ef1025da5629691e3a76b96218ef5994012ce64222a5be167dc26,md,v0.3-independent-rebuild,orientation,supporting-material,historical-source-or-working-artifact,
P0087,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/real_world_protocol/R7_RESOURCE_REQUEST.md,1245,192982de535e9daea293225a90bf5f92cde1965d3500ab16f25fe2bcc2fa42d7,md,v0.3-independent-rebuild,specification-or-protocol,supporting-material,historical-source-or-working-artifact,
P0088,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/real_world_protocol/R7_真实主体实验协议_v0.1.md,15944,508b6f9b81eaaeaab3aa56dd6c6293652e4657c09943d2acaa233757cf55afc4,md,v0.3-independent-rebuild,specification-or-protocol,supporting-material,historical-source-or-working-artifact,
P0090,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/spec/06_系统架构与最小内核_v0.3.md,20418,0dcea8ced74252f5786da0599fab53ede056b94f0b9b0d3d65ee26aea7dce160,md,v0.3-independent-rebuild,specification-or-protocol,supporting-material,historical-source-or-working-artifact,
P0092,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/theory/01_独立理论重建_v0.3.md,37557,6d5cfd17f8d820df43d0e9a67b7a78a68aab874d5d79432752ad2ef31a53f298,md,v0.3-independent-rebuild,theory,synthesis-or-claim,historical-source-or-working-artifact,
P0093,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/theory/02_关系语法与共同可行动性_v0.3.md,21050,b427c01b946753ba4e491c99cc126f4d7d07bd57f861d68874100e85f354d461,md,v0.3-independent-rebuild,theory,synthesis-or-claim,historical-source-or-working-artifact,
P0094,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.3/theory/03_形式命题与反例_v0.2.md,9486,6e9681ef9a6d556a368349a10020bb7350903a215f25021f8a1421ebb280808f,md,v0.3-independent-rebuild,theory,synthesis-or-claim,historical-source-or-working-artifact,
P0096,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4/00_EXECUTIVE_SYNTHESIS.md,9952,84b85e08dbee2688719e163689845a302db6c667709cdc624d842ed84f881425,md,v0.4-operationalization,orientation,supporting-material,historical-source-or-working-artifact,D0434
P0097,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4/02_RESEARCH_CHARTER.md,5174,61d0003c8a8f9000ab7b0baea713248ebcb194aad88d9d5316fab38de4689602,md,v0.4-operationalization,text-source,supporting-material,historical-source-or-working-artifact,D0311
P0099,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4/evidence/01_全量实验统一重审_v0.4.md,17268,4accaf98341c484a3b2128da241f214d704a2dbd29a76da9a3406726e303fbd2,md,v0.4-operationalization,evidence-or-decision-ledger,supporting-material,historical-source-or-working-artifact,D0236
